"","From","To","Probability","Distance","Relationship"
"1","Index","USA-MA-CDCBI-CRSP_6VOEFFD2KAXN6GMN-2021",0.0793650793650794,NA,"Index Case"
"2","USA-MA-CDCBI-CRSP_NFOVHKZ4BFRQ7CNL-2021","USA-MA-CDCBI-CRSP_6VOEFFD2KAXN6GMN-2021",0.904761904761905,2,"Undetected Consensus Change"
"3","USA-MA-CDCBI-CRSP_ROJYUZS6U3FQWKJU-2021","USA-MA-CDCBI-CRSP_6VOEFFD2KAXN6GMN-2021",0.0158730158730159,1,"Fixation to Minor Allele"
"4","Index","USA-MA-CDCBI-CRSP_NFOVHKZ4BFRQ7CNL-2021",0.952380952380952,NA,"Index Case"
"5","USA-MA-CDCBI-CRSP_6VOEFFD2KAXN6GMN-2021","USA-MA-CDCBI-CRSP_NFOVHKZ4BFRQ7CNL-2021",0.0476190476190476,2,"Undetected Consensus Change"
"6","USA-MA-CDCBI-CRSP_6VOEFFD2KAXN6GMN-2021","USA-MA-CDCBI-CRSP_L5Z4BTOEP2URB54W-2022",0.222222222222222,1,"Undetected Consensus Change"
"7","USA-MA-CDCBI-CRSP_WWDENTMKVVWQHMLD-2021","USA-MA-CDCBI-CRSP_L5Z4BTOEP2URB54W-2022",0.777777777777778,1,"Undetected Consensus Change"
"8","USA-MA-CDCBI-CRSP_6VOEFFD2KAXN6GMN-2021","USA-MA-CDCBI-CRSP_WWDENTMKVVWQHMLD-2021",1,0,"Same Consensus"
"9","USA-MA-CDCBI-CRSP_ROJYUZS6U3FQWKJU-2021","USA-MA-CDCBI-CRSP_35JNKTL4D2BDG7G3-2022",0.380952380952381,1,"Undetected Consensus Change"
"10","USA-MA-CDCBI-CRSP_LQJ4NLCS64CYQKBO-2021","USA-MA-CDCBI-CRSP_35JNKTL4D2BDG7G3-2022",0.619047619047619,1,"Undetected Consensus Change"
"11","USA-MA-CDCBI-CRSP_6VOEFFD2KAXN6GMN-2021","USA-MA-CDCBI-CRSP_ROJYUZS6U3FQWKJU-2021",0.507936507936508,1,"Minor Allele to Fixation"
"12","USA-MA-CDCBI-CRSP_NFOVHKZ4BFRQ7CNL-2021","USA-MA-CDCBI-CRSP_ROJYUZS6U3FQWKJU-2021",0.0476190476190476,1,"Undetected Consensus Change"
"13","USA-MA-CDCBI-CRSP_LQJ4NLCS64CYQKBO-2021","USA-MA-CDCBI-CRSP_ROJYUZS6U3FQWKJU-2021",0.444444444444444,0,"Same Consensus"
"14","USA-MA-CDCBI-CRSP_6VOEFFD2KAXN6GMN-2021","USA-MA-CDCBI-CRSP_LQJ4NLCS64CYQKBO-2021",0.666666666666667,1,"Minor Allele to Fixation"
"15","USA-MA-CDCBI-CRSP_NFOVHKZ4BFRQ7CNL-2021","USA-MA-CDCBI-CRSP_LQJ4NLCS64CYQKBO-2021",0.0317460317460317,1,"Undetected Consensus Change"
"16","USA-MA-CDCBI-CRSP_ROJYUZS6U3FQWKJU-2021","USA-MA-CDCBI-CRSP_LQJ4NLCS64CYQKBO-2021",0.301587301587302,0,"Same Consensus"
