"","From","To","Probability","Distance","Relationship"
"1","USA-MA-CDCBI-CRSP_BMK6FLUC5RMI2TC6-2021","USA-MA-CDCBI-CRSP_GUTGNWFVJ4L2VACB-2021",0.00854700854700855,1,"Minor Allele to Fixation"
"2","USA-MA-CDCBI-CRSP_5KZQRAMNF7JSEWIA-2021","USA-MA-CDCBI-CRSP_GUTGNWFVJ4L2VACB-2021",0.00170940170940171,0,"Same Consensus"
"3","USA-MA-CDCBI-CRSP_H46CDOC3F6SLRNBM-2021","USA-MA-CDCBI-CRSP_GUTGNWFVJ4L2VACB-2021",0.167521367521368,0,"Same Consensus"
"4","USA-MA-CDCBI-CRSP_LRXZOJPRRF46EKE7-2021","USA-MA-CDCBI-CRSP_GUTGNWFVJ4L2VACB-2021",0.82051282051282,0,"Same Consensus"
"5","USA-MA-CDCBI-CRSP_H4XFXGYFHMAKLYO5-2021","USA-MA-CDCBI-CRSP_GUTGNWFVJ4L2VACB-2021",0.00170940170940171,0,"Same Consensus"
"6","USA-MA-CDCBI-CRSP_Q7WGLW7K4NTEUDWS-2021","USA-MA-CDCBI-CRSP_NVKZQBLTYRSASFBM-2021",0.220512820512821,1,"Fixation to Minor Allele"
"7","USA-MA-CDCBI-CRSP_QZ6OAIFTBVCYNFXW-2021","USA-MA-CDCBI-CRSP_NVKZQBLTYRSASFBM-2021",0.663247863247863,1,"Fixation to Minor Allele"
"8","USA-MA-CDCBI-CRSP_V5MUWWW53PRUNKRT-2021","USA-MA-CDCBI-CRSP_NVKZQBLTYRSASFBM-2021",0.0923076923076923,1,"Fixation to Minor Allele"
"9","USA-MA-CDCBI-CRSP_DW2PVKE4AQGM5YFN-2021","USA-MA-CDCBI-CRSP_NVKZQBLTYRSASFBM-2021",0.0239316239316239,2,"Undetected Consensus Change"
"10","USA-MA-CDCBI-CRSP_KK4NAVJC2OVUH6NB-2021","USA-MA-CDCBI-CRSP_BMK6FLUC5RMI2TC6-2021",1,1,"Split Bottleneck"
"11","USA-MA-CDCBI-CRSP_PTSQXV4S52UWCTFW-2021","USA-MA-CDCBI-CRSP_YVAP3QHMM474M6BR-2021",0.0547008547008547,1,"Undetected Consensus Change"
"12","USA-MA-CDCBI-CRSP_BGKKO7XKUMRJSU42-2021","USA-MA-CDCBI-CRSP_YVAP3QHMM474M6BR-2021",0.0752136752136752,1,"Undetected Consensus Change"
"13","USA-MA-CDCBI-CRSP_XWFQXAQG4M75XBV6-2021","USA-MA-CDCBI-CRSP_YVAP3QHMM474M6BR-2021",0.114529914529915,1,"Undetected Consensus Change"
"14","USA-MA-CDCBI-CRSP_53V7QXYFJCTCMPOG-2021","USA-MA-CDCBI-CRSP_YVAP3QHMM474M6BR-2021",0.0700854700854701,1,"Undetected Consensus Change"
"15","USA-MA-CDCBI-CRSP_AKMNF2UNZL26SON6-2021","USA-MA-CDCBI-CRSP_YVAP3QHMM474M6BR-2021",0.104273504273504,1,"Undetected Consensus Change"
"16","USA-MA-CDCBI-CRSP_T6ZAA22UFLFIA4ZM-2021","USA-MA-CDCBI-CRSP_YVAP3QHMM474M6BR-2021",0.0393162393162393,1,"Undetected Consensus Change"
"17","USA-MA-CDCBI-CRSP_MIUNJ6FD7GF2AOTG-2021","USA-MA-CDCBI-CRSP_YVAP3QHMM474M6BR-2021",0.0427350427350427,1,"Undetected Consensus Change"
"18","USA-MA-CDCBI-CRSP_5KZQRAMNF7JSEWIA-2021","USA-MA-CDCBI-CRSP_YVAP3QHMM474M6BR-2021",0.0307692307692308,1,"Undetected Consensus Change"
"19","USA-MA-CDCBI-CRSP_TPRQXMBZGW5NPA64-2021","USA-MA-CDCBI-CRSP_YVAP3QHMM474M6BR-2021",0.00341880341880342,1,"Undetected Consensus Change"
"20","USA-MA-CDCBI-CRSP_VKUKEL3DW4MKYIYJ-2021","USA-MA-CDCBI-CRSP_YVAP3QHMM474M6BR-2021",0.052991452991453,1,"Undetected Consensus Change"
"21","USA-MA-CDCBI-CRSP_E5TWGSFVWTPVDIPN-2021","USA-MA-CDCBI-CRSP_YVAP3QHMM474M6BR-2021",0.0102564102564103,1,"Undetected Consensus Change"
"22","USA-MA-CDCBI-CRSP_NAQ7ANY2VV2LTLQE-2021","USA-MA-CDCBI-CRSP_YVAP3QHMM474M6BR-2021",0.0700854700854701,1,"Undetected Consensus Change"
"23","USA-MA-CDCBI-CRSP_4VAODH2FIMMBBDEN-2021","USA-MA-CDCBI-CRSP_YVAP3QHMM474M6BR-2021",0.0837606837606838,1,"Undetected Consensus Change"
"24","USA-MA-CDCBI-CRSP_3TB4NAWBMIAFIW2B-2021","USA-MA-CDCBI-CRSP_YVAP3QHMM474M6BR-2021",0.052991452991453,1,"Undetected Consensus Change"
"25","USA-MA-CDCBI-CRSP_5AEJ5KKPPW54H4Y2-2021","USA-MA-CDCBI-CRSP_YVAP3QHMM474M6BR-2021",0.052991452991453,1,"Undetected Consensus Change"
"26","USA-MA-CDCBI-CRSP_H5VWKWNHRBXN3JY6-2021","USA-MA-CDCBI-CRSP_YVAP3QHMM474M6BR-2021",0.00170940170940171,1,"Undetected Consensus Change"
"27","USA-MA-CDCBI-CRSP_FRPFPCAGD4ELQ2OO-2021","USA-MA-CDCBI-CRSP_YVAP3QHMM474M6BR-2021",0.00683760683760684,1,"Undetected Consensus Change"
"28","USA-MA-CDCBI-CRSP_TYKQCBNVXBYZ5QWA-2021","USA-MA-CDCBI-CRSP_YVAP3QHMM474M6BR-2021",0.011965811965812,1,"Undetected Consensus Change"
"29","USA-MA-CDCBI-CRSP_OHHMVLYQEXUFUMSM-2021","USA-MA-CDCBI-CRSP_YVAP3QHMM474M6BR-2021",0.0290598290598291,1,"Undetected Consensus Change"
"30","USA-MA-CDCBI-CRSP_UWZEXLI72YV3GZL5-2021","USA-MA-CDCBI-CRSP_YVAP3QHMM474M6BR-2021",0.0239316239316239,1,"Undetected Consensus Change"
"31","USA-MA-CDCBI-CRSP_KK4NAVJC2OVUH6NB-2021","USA-MA-CDCBI-CRSP_YVAP3QHMM474M6BR-2021",0.064957264957265,1,"Undetected Consensus Change"
"32","USA-MA-CDCBI-CRSP_NB54QEAY4ALAGXDY-2021","USA-MA-CDCBI-CRSP_YVAP3QHMM474M6BR-2021",0.00341880341880342,1,"Undetected Consensus Change"
"33","USA-MA-CDCBI-CRSP_425PCTQZIGO6PXEX-2021","USA-MA-CDCBI-CRSP_2ULT4OHSSSCPWOMM-2021",0.336752136752137,1,"Undetected Consensus Change"
"34","USA-MA-CDCBI-CRSP_Q7WGLW7K4NTEUDWS-2021","USA-MA-CDCBI-CRSP_2ULT4OHSSSCPWOMM-2021",0.176068376068376,1,"Undetected Consensus Change"
"35","USA-MA-CDCBI-CRSP_QZ6OAIFTBVCYNFXW-2021","USA-MA-CDCBI-CRSP_2ULT4OHSSSCPWOMM-2021",0.0547008547008547,1,"Undetected Consensus Change"
"36","USA-MA-CDCBI-CRSP_V5MUWWW53PRUNKRT-2021","USA-MA-CDCBI-CRSP_2ULT4OHSSSCPWOMM-2021",0.235897435897436,1,"Undetected Consensus Change"
"37","USA-MA-CDCBI-CRSP_APXMVE23YHNONBP3-2021","USA-MA-CDCBI-CRSP_2ULT4OHSSSCPWOMM-2021",0.157264957264957,1,"Undetected Consensus Change"
"38","USA-MA-CDCBI-CRSP_D7QQOOO5LN3ZR6NZ-2021","USA-MA-CDCBI-CRSP_2ULT4OHSSSCPWOMM-2021",0.0393162393162393,1,"Undetected Consensus Change"
"39","USA-MA-CDCBI-CRSP_GODXU7R3O6MHHTPQ-2021","USA-MA-CDCBI-CRSP_6AXZROFKP64J5HLS-2021",0.169230769230769,0,"Same Consensus"
"40","USA-MA-CDCBI-CRSP_B6KXCNSPYYDNAIWH-2021","USA-MA-CDCBI-CRSP_6AXZROFKP64J5HLS-2021",0.153846153846154,0,"Same Consensus"
"41","USA-MA-CDCBI-CRSP_H4XFXGYFHMAKLYO5-2021","USA-MA-CDCBI-CRSP_6AXZROFKP64J5HLS-2021",0.00170940170940171,2,"Undetected Consensus Change"
"42","USA-MA-CDCBI-CRSP_N6IKCHZ3AVA3Z5E3-2021","USA-MA-CDCBI-CRSP_6AXZROFKP64J5HLS-2021",0.341880341880342,0,"Same Consensus"
"43","USA-MA-CDCBI-CRSP_QUIVYRBS2DATVKEI-2021","USA-MA-CDCBI-CRSP_6AXZROFKP64J5HLS-2021",0.333333333333333,0,"Same Consensus"
"44","USA-MA-CDCBI-CRSP_NVKZQBLTYRSASFBM-2021","USA-MA-CDCBI-CRSP_425PCTQZIGO6PXEX-2021",0.0222222222222222,1,"Minor Allele to Fixation"
"45","USA-MA-CDCBI-CRSP_Q7WGLW7K4NTEUDWS-2021","USA-MA-CDCBI-CRSP_425PCTQZIGO6PXEX-2021",0.372649572649573,0,"Same Consensus"
"46","USA-MA-CDCBI-CRSP_QZ6OAIFTBVCYNFXW-2021","USA-MA-CDCBI-CRSP_425PCTQZIGO6PXEX-2021",0.52991452991453,0,"Same Consensus"
"47","USA-MA-CDCBI-CRSP_V5MUWWW53PRUNKRT-2021","USA-MA-CDCBI-CRSP_425PCTQZIGO6PXEX-2021",0.0752136752136752,0,"Same Consensus"
"48","USA-MA-CDCBI-CRSP_6AXZROFKP64J5HLS-2021","USA-MA-CDCBI-CRSP_GODXU7R3O6MHHTPQ-2021",0.00854700854700855,0,"Same Consensus"
"49","USA-MA-CDCBI-CRSP_B6KXCNSPYYDNAIWH-2021","USA-MA-CDCBI-CRSP_GODXU7R3O6MHHTPQ-2021",0.0205128205128205,0,"Same Consensus"
"50","USA-MA-CDCBI-CRSP_N6IKCHZ3AVA3Z5E3-2021","USA-MA-CDCBI-CRSP_GODXU7R3O6MHHTPQ-2021",0.87008547008547,0,"Same Consensus"
"51","USA-MA-CDCBI-CRSP_QUIVYRBS2DATVKEI-2021","USA-MA-CDCBI-CRSP_GODXU7R3O6MHHTPQ-2021",0.100854700854701,0,"Same Consensus"
"52","USA-MA-CDCBI-CRSP_PTSQXV4S52UWCTFW-2021","USA-MA-CDCBI-CRSP_RLCB6LN3BLVEVL4L-2021",0.0239316239316239,1,"Undetected Consensus Change"
"53","USA-MA-CDCBI-CRSP_AKMNF2UNZL26SON6-2021","USA-MA-CDCBI-CRSP_RLCB6LN3BLVEVL4L-2021",0.00683760683760684,1,"Undetected Consensus Change"
"54","USA-MA-CDCBI-CRSP_MIUNJ6FD7GF2AOTG-2021","USA-MA-CDCBI-CRSP_RLCB6LN3BLVEVL4L-2021",0.00170940170940171,1,"Undetected Consensus Change"
"55","USA-MA-CDCBI-CRSP_TPRQXMBZGW5NPA64-2021","USA-MA-CDCBI-CRSP_RLCB6LN3BLVEVL4L-2021",0.126495726495726,1,"Undetected Consensus Change"
"56","USA-MA-CDCBI-CRSP_VKUKEL3DW4MKYIYJ-2021","USA-MA-CDCBI-CRSP_RLCB6LN3BLVEVL4L-2021",0.0188034188034188,1,"Undetected Consensus Change"
"57","USA-MA-CDCBI-CRSP_NAQ7ANY2VV2LTLQE-2021","USA-MA-CDCBI-CRSP_RLCB6LN3BLVEVL4L-2021",0.011965811965812,1,"Undetected Consensus Change"
"58","USA-MA-CDCBI-CRSP_3TB4NAWBMIAFIW2B-2021","USA-MA-CDCBI-CRSP_RLCB6LN3BLVEVL4L-2021",0.0256410256410256,1,"Undetected Consensus Change"
"59","USA-MA-CDCBI-CRSP_5AEJ5KKPPW54H4Y2-2021","USA-MA-CDCBI-CRSP_RLCB6LN3BLVEVL4L-2021",0.0170940170940171,1,"Undetected Consensus Change"
"60","USA-MA-CDCBI-CRSP_FRPFPCAGD4ELQ2OO-2021","USA-MA-CDCBI-CRSP_RLCB6LN3BLVEVL4L-2021",0.225641025641026,1,"Undetected Consensus Change"
"61","USA-MA-CDCBI-CRSP_TYKQCBNVXBYZ5QWA-2021","USA-MA-CDCBI-CRSP_RLCB6LN3BLVEVL4L-2021",0.141880341880342,1,"Undetected Consensus Change"
"62","USA-MA-CDCBI-CRSP_UWZEXLI72YV3GZL5-2021","USA-MA-CDCBI-CRSP_RLCB6LN3BLVEVL4L-2021",0.128205128205128,1,"Undetected Consensus Change"
"63","USA-MA-CDCBI-CRSP_ENRIIRAYMJFZ4P3F-2021","USA-MA-CDCBI-CRSP_RLCB6LN3BLVEVL4L-2021",0.193162393162393,1,"Undetected Consensus Change"
"64","USA-MA-CDCBI-CRSP_NB54QEAY4ALAGXDY-2021","USA-MA-CDCBI-CRSP_RLCB6LN3BLVEVL4L-2021",0.0581196581196581,1,"Undetected Consensus Change"
"65","USA-MA-CDCBI-CRSP_JMDGQU2XW4VLHJ4X-2021","USA-MA-CDCBI-CRSP_RLCB6LN3BLVEVL4L-2021",0.0205128205128205,0,"Same Consensus"
"66","USA-MA-CDCBI-CRSP_NVKZQBLTYRSASFBM-2021","USA-MA-CDCBI-CRSP_Q7WGLW7K4NTEUDWS-2021",0.00512820512820513,1,"Minor Allele to Fixation"
"67","USA-MA-CDCBI-CRSP_QZ6OAIFTBVCYNFXW-2021","USA-MA-CDCBI-CRSP_Q7WGLW7K4NTEUDWS-2021",0.671794871794872,0,"Same Consensus"
"68","USA-MA-CDCBI-CRSP_V5MUWWW53PRUNKRT-2021","USA-MA-CDCBI-CRSP_Q7WGLW7K4NTEUDWS-2021",0.102564102564103,0,"Same Consensus"
"69","USA-MA-CDCBI-CRSP_DW2PVKE4AQGM5YFN-2021","USA-MA-CDCBI-CRSP_Q7WGLW7K4NTEUDWS-2021",0.220512820512821,1,"Undetected Consensus Change"
"70","USA-MA-CDCBI-CRSP_6AXZROFKP64J5HLS-2021","USA-MA-CDCBI-CRSP_B6KXCNSPYYDNAIWH-2021",0.00170940170940171,0,"Same Consensus"
"71","USA-MA-CDCBI-CRSP_GODXU7R3O6MHHTPQ-2021","USA-MA-CDCBI-CRSP_B6KXCNSPYYDNAIWH-2021",0.0564102564102564,0,"Same Consensus"
"72","USA-MA-CDCBI-CRSP_N6IKCHZ3AVA3Z5E3-2021","USA-MA-CDCBI-CRSP_B6KXCNSPYYDNAIWH-2021",0.825641025641026,0,"Same Consensus"
"73","USA-MA-CDCBI-CRSP_QUIVYRBS2DATVKEI-2021","USA-MA-CDCBI-CRSP_B6KXCNSPYYDNAIWH-2021",0.116239316239316,0,"Same Consensus"
"74","USA-MA-CDCBI-CRSP_NVKZQBLTYRSASFBM-2021","USA-MA-CDCBI-CRSP_HDWJ7IKU54WNIMUT-2021",0.00512820512820513,1,"Minor Allele to Fixation"
"75","USA-MA-CDCBI-CRSP_425PCTQZIGO6PXEX-2021","USA-MA-CDCBI-CRSP_HDWJ7IKU54WNIMUT-2021",0.415384615384615,0,"Same Consensus"
