"","From","To","Probability","Distance","Relationship"
"1","USA-MA-CDCBI-CRSP_FOED4KWW37GE7ONK-2021","USA-MA-CDCBI-CRSP_VWASKDPFVFS6IINR-2021",0.0707070707070707,1,"Undetected Consensus Change"
"2","USA-MA-CDCBI-CRSP_ZCT63JEJPDERUSPX-2021","USA-MA-CDCBI-CRSP_VWASKDPFVFS6IINR-2021",0.464646464646465,0,"Same Consensus"
"3","USA-MA-CDCBI-CRSP_XICCARK7CZWFA7RH-2021","USA-MA-CDCBI-CRSP_VWASKDPFVFS6IINR-2021",0.232323232323232,0,"Same Consensus"
"4","USA-MA-CDCBI-CRSP_NCG3BLAE2WT2EWT4-2021","USA-MA-CDCBI-CRSP_VWASKDPFVFS6IINR-2021",0.0303030303030303,0,"Same Consensus"
"5","USA-MA-CDCBI-CRSP_P3CDBKXUR3LWUCNQ-2022","USA-MA-CDCBI-CRSP_VWASKDPFVFS6IINR-2021",0.202020202020202,0,"Same Consensus"
"6","Index","USA-MA-CDCBI-CRSP_FOED4KWW37GE7ONK-2021",1,NA,"Index Case"
"7","USA-MA-CDCBI-CRSP_XICCARK7CZWFA7RH-2021","USA-MA-CDCBI-CRSP_DBIWOPMOL54XM4DJ-2022",0.525252525252525,0,"Split Bottleneck"
"8","USA-MA-CDCBI-CRSP_P3CDBKXUR3LWUCNQ-2022","USA-MA-CDCBI-CRSP_DBIWOPMOL54XM4DJ-2022",0.474747474747475,0,"Split Bottleneck"
"9","USA-MA-CDCBI-CRSP_VWASKDPFVFS6IINR-2021","USA-MA-CDCBI-CRSP_OUTWRWJGSVKYTVZL-2022",0.303030303030303,0,"Same Consensus"
"10","USA-MA-CDCBI-CRSP_DBIWOPMOL54XM4DJ-2022","USA-MA-CDCBI-CRSP_OUTWRWJGSVKYTVZL-2022",0.0606060606060606,0,"Same Consensus"
"11","USA-MA-CDCBI-CRSP_ZCT63JEJPDERUSPX-2021","USA-MA-CDCBI-CRSP_OUTWRWJGSVKYTVZL-2022",0.101010101010101,0,"Same Consensus"
