"","From","To","Probability","Distance","Relationship"
"1","USA-MA-CDCBI-CRSP_YVN4RRYRS7HCUIA3-2021","USA-MA-CDCBI-CRSP_OXMXCTSN6XNNDDBX-2022",0.253968253968254,2,"Undetected Consensus Change"
"2","USA-MA-CDCBI-CRSP_S52S7OIZN32O32GZ-2022","USA-MA-CDCBI-CRSP_OXMXCTSN6XNNDDBX-2022",0.746031746031746,1,"Fixation to Minor Allele"
"3","USA-MA-CDCBI-CRSP_BCXGG6OFZ2ZBBCEY-2021","USA-MA-CDCBI-CRSP_ILJ7YMAIYL36QS7Y-2022",1,0,"Same Consensus"
"4","USA-MA-CDCBI-CRSP_OXMXCTSN6XNNDDBX-2022","USA-MA-CDCBI-CRSP_TQW227AM3X3SUXN2-2021",0.253968253968254,2,"Undetected Consensus Change"
"5","USA-MA-CDCBI-CRSP_YVN4RRYRS7HCUIA3-2021","USA-MA-CDCBI-CRSP_TQW227AM3X3SUXN2-2021",0.126984126984127,2,"Undetected Consensus Change"
"6","USA-MA-CDCBI-CRSP_S52S7OIZN32O32GZ-2022","USA-MA-CDCBI-CRSP_TQW227AM3X3SUXN2-2021",0.619047619047619,1,"Undetected Consensus Change"
"7","Index","USA-MA-CDCBI-CRSP_YVN4RRYRS7HCUIA3-2021",1,NA,"Index Case"
"8","Index","USA-MA-CDCBI-CRSP_TMB47SL2GX7IEQ2R-2021",0.698412698412698,NA,"Index Case"
"9","USA-MA-CDCBI-CRSP_OXMXCTSN6XNNDDBX-2022","USA-MA-CDCBI-CRSP_TMB47SL2GX7IEQ2R-2021",0.111111111111111,3,"Undetected Consensus Change"
"10","USA-MA-CDCBI-CRSP_S52S7OIZN32O32GZ-2022","USA-MA-CDCBI-CRSP_TMB47SL2GX7IEQ2R-2021",0.19047619047619,2,"Undetected Consensus Change"
"11","USA-MA-CDCBI-CRSP_OXMXCTSN6XNNDDBX-2022","USA-MA-CDCBI-CRSP_BCXGG6OFZ2ZBBCEY-2021",0.238095238095238,2,"Undetected Consensus Change"
"12","USA-MA-CDCBI-CRSP_TQW227AM3X3SUXN2-2021","USA-MA-CDCBI-CRSP_BCXGG6OFZ2ZBBCEY-2021",0.111111111111111,2,"Undetected Consensus Change"
"13","USA-MA-CDCBI-CRSP_YVN4RRYRS7HCUIA3-2021","USA-MA-CDCBI-CRSP_BCXGG6OFZ2ZBBCEY-2021",0.0158730158730159,2,"Undetected Consensus Change"
"14","USA-MA-CDCBI-CRSP_S52S7OIZN32O32GZ-2022","USA-MA-CDCBI-CRSP_BCXGG6OFZ2ZBBCEY-2021",0.634920634920635,1,"Undetected Consensus Change"
"15","USA-MA-CDCBI-CRSP_OXMXCTSN6XNNDDBX-2022","USA-MA-CDCBI-CRSP_S52S7OIZN32O32GZ-2022",0.253968253968254,1,"Minor Allele to Fixation"
"16","USA-MA-CDCBI-CRSP_TQW227AM3X3SUXN2-2021","USA-MA-CDCBI-CRSP_S52S7OIZN32O32GZ-2022",0.126984126984127,1,"Undetected Consensus Change"
"17","USA-MA-CDCBI-CRSP_YVN4RRYRS7HCUIA3-2021","USA-MA-CDCBI-CRSP_S52S7OIZN32O32GZ-2022",0.619047619047619,1,"Undetected Consensus Change"
